@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs_motion-hori numeric
@attribute outputs_motion-verti numeric
@attribute outputs_motion-acc numeric
@attribute outputs_motion-classify {0,1,2,3,4}

@data
1,'2022/12/13 08:00:41:935',1,0.016344,0.011822,-0.005892,-0.073877,-1.502337,2.360123,?,?,?,1
2,'2022/12/13 08:00:41:967',1,0.019443,0.003379,0.001978,-0.073286,-1.501499,2.360132,?,?,?,1
3,'2022/12/13 08:00:42:000',1,0.029854,-0.002873,-0.009193,-0.073557,-1.500534,2.359669,?,?,?,1
4,'2022/12/13 08:00:42:033',1,0.013197,-0.003632,-0.007939,-0.074395,-1.500189,2.359281,?,?,?,1
5,'2022/12/13 08:00:56:368',2,-0.004353,0.00205,0.0036,-0.050614,-1.555839,2.943693,?,?,?,2
6,'2022/12/13 08:00:56:401',2,0.005231,0.009224,-0.010381,-0.050139,-1.555308,2.942752,?,?,?,2
7,'2022/12/13 08:00:56:436',2,0.013589,0.006317,-0.015715,-0.049734,-1.554768,2.942426,?,?,?,2
8,'2022/12/13 08:00:56:468',2,0.011242,-0.000453,-0.004618,-0.04953,-1.555314,2.942609,?,?,?,2
9,'2022/12/13 08:01:02:834',3,-0.003612,0.000681,-0.008156,-0.105349,-1.359578,1.827119,?,?,?,3
10,'2022/12/13 08:01:02:869',3,0.022611,-0.001353,-0.002228,-0.10431,-1.359547,1.826669,?,?,?,3
11,'2022/12/13 08:01:02:901',3,0.019796,-0.000503,-0.004677,-0.104468,-1.358641,1.826361,?,?,?,3
12,'2022/12/13 08:01:10:736',4,0.008225,0.010749,-0.010983,0.36197,-1.498679,2.325408,?,?,?,4
13,'2022/12/13 08:01:10:768',4,0.000778,0.011252,-0.008712,0.361937,-1.497816,2.325548,?,?,?,4
14,'2022/12/13 08:01:10:801',4,0.012558,-0.002443,0.00108,0.362859,-1.49835,2.326006,?,?,?,4
15,'2022/12/13 08:01:10:835',4,0.022509,-0.000742,-0.003058,0.363323,-1.498111,2.325328,?,?,?,4
16,'2022/12/13 08:01:36:068',5,-0.004299,0.002681,-0.00348,-0.011876,-1.52656,2.723619,0,?,?,?
17,'2022/12/13 08:01:36:102',5,-0.000324,0.010383,-0.012696,-0.011422,-1.52627,2.722897,0,?,?,?
18,'2022/12/13 08:01:36:137',5,0.006803,0.005428,-0.000171,-0.010686,-1.526119,2.722694,0,?,?,?
19,'2022/12/13 08:01:36:167',5,0.008669,0.006879,-0.015742,-0.010059,-1.526065,2.722344,0,?,?,?
20,'2022/12/13 08:01:42:344',6,-0.002905,0.000915,0.016806,-0.03176,-1.513005,2.09737,10,?,?,?
21,'2022/12/13 08:01:42:368',6,0.014951,-0.002349,0.008343,-0.030644,-1.512466,2.096524,10,?,?,?
22,'2022/12/13 08:01:42:402',6,0.020656,-0.001367,-0.012439,-0.030134,-1.511396,2.095482,10,?,?,?
23,'2022/12/13 08:01:42:435',6,0.006609,-0.004348,-0.003208,-0.030278,-1.51005,2.09504,10,?,?,?
24,'2022/12/13 08:01:53:635',7,-0.009429,-0.002031,0.008729,0.389074,-1.520459,2.350846,?,0,?,?
25,'2022/12/13 08:01:53:668',7,0.010936,-0.002951,0.013045,0.390059,-1.52016,2.350453,?,0,?,?
26,'2022/12/13 08:01:53:704',7,0.024808,-0.009007,0.000274,0.390457,-1.519523,2.349576,?,0,?,?
27,'2022/12/13 08:02:00:302',8,0.003315,-0.008504,0.021758,-0.208794,-1.531528,2.370501,?,10,?,?
28,'2022/12/13 08:02:00:334',8,0.011195,-0.007434,0.012171,-0.208152,-1.531414,2.370213,?,10,?,?
29,'2022/12/13 08:02:00:368',8,0.01304,-0.009245,0.006109,-0.208054,-1.531247,2.368932,?,10,?,?
30,'2022/12/13 08:02:10:610',9,-0.013569,-0.005275,0.015925,1.417184,-1.539611,2.363873,?,?,0,?
31,'2022/12/13 08:02:10:635',9,0.012123,0.007534,0.0094,1.418433,-1.532582,2.355316,?,?,0,?
32,'2022/12/13 08:02:10:668',9,0.011522,0.002884,-0.004511,1.418252,-1.510268,2.333167,?,?,0,?
33,'2022/12/13 08:02:18:002',10,0.764736,0.234902,0.051418,1.474053,-1.74742,2.672198,?,?,10,?
34,'2022/12/13 08:02:18:035',10,-0.165879,0.43205,0.770271,1.427982,-1.784755,2.733543,?,?,10,?
35,'2022/12/13 08:02:18:068',10,-1.58801,0.045134,-0.079153,1.332943,-1.36174,2.273707,?,?,10,?
36,'2022/12/13 08:02:18:101',10,-1.355725,0.067871,-0.787706,1.289928,-1.214057,2.116191,?,?,10,?
37,'2022/12/13 08:02:18:135',10,-1.273821,0.191687,0.185886,1.247961,-1.203756,2.135847,?,?,10,?
38,'2022/12/13 08:02:18:168',10,-1.911028,-0.186191,-0.095339,1.215279,-1.240428,2.130172,?,?,10,?
