@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute outputs_draw-1 {0,1,2}
@attribute outputs_draw-2 {0,1,2}
@attribute outputs_draw-3 {0,1,2}
@attribute outputs_draw-4 {0,1,2}

@data
1,'2022/12/13 08:37:07:582',1,503.346161,473.990051,1,?,?,?
2,'2022/12/13 08:37:07:619',1,503.913849,473.895233,1,?,?,?
3,'2022/12/13 08:37:07:652',1,504.894714,473.900146,1,?,?,?
4,'2022/12/13 08:37:07:684',1,506.055237,474.051147,1,?,?,?
5,'2022/12/13 08:37:07:716',1,508.489594,473.864319,1,?,?,?
6,'2022/12/13 08:37:07:747',1,509.834137,474.10907,1,?,?,?
7,'2022/12/13 08:37:07:779',1,510.732086,474.564972,1,?,?,?
8,'2022/12/13 08:37:07:810',1,511.129425,474.029419,1,?,?,?
9,'2022/12/13 08:37:07:840',1,511.003906,474.018524,1,?,?,?
10,'2022/12/13 08:37:07:872',1,50,50,1,?,?,?
11,'2022/12/13 08:37:07:903',1,50,50,1,?,?,?
12,'2022/12/13 08:37:07:936',1,512.486389,472.991333,1,?,?,?
13,'2022/12/13 08:37:07:969',1,513.870117,473.201721,1,?,?,?
14,'2022/12/13 08:37:08:002',1,511.579163,473.062805,1,?,?,?
15,'2022/12/13 08:37:08:037',1,511.007751,472.170502,1,?,?,?
16,'2022/12/13 08:37:08:075',1,510.131165,472.25531,1,?,?,?
17,'2022/12/13 08:37:08:108',1,509.425842,472.536682,1,?,?,?
18,'2022/12/13 08:37:08:141',1,509.145844,472.632141,1,?,?,?
19,'2022/12/13 08:37:08:177',1,509.723816,472.719086,1,?,?,?
20,'2022/12/13 08:37:08:208',1,510.143463,473.207672,1,?,?,?
21,'2022/12/13 08:37:08:240',1,50,50,1,?,?,?
22,'2022/12/13 08:37:08:272',1,50,50,1,?,?,?
23,'2022/12/13 08:37:08:304',1,50,50,1,?,?,?
24,'2022/12/13 08:37:08:336',1,510.42807,474.355194,1,?,?,?
25,'2022/12/13 08:37:08:368',1,509.897369,474.291687,1,?,?,?
26,'2022/12/13 08:37:08:400',1,510.540405,474.41626,1,?,?,?
27,'2022/12/13 08:37:08:432',1,510.081146,473.969116,1,?,?,?
28,'2022/12/13 08:37:08:464',1,509.865906,473.844666,1,?,?,?
29,'2022/12/13 08:37:08:496',1,511.170929,473.80957,1,?,?,?
30,'2022/12/13 08:37:08:528',1,511.199463,473.15979,1,?,?,?
31,'2022/12/13 08:37:08:559',1,511.547821,472.791687,1,?,?,?
32,'2022/12/13 08:37:08:591',1,514.224854,472.890533,1,?,?,?
33,'2022/12/13 08:37:08:622',1,50,50,1,?,?,?
34,'2022/12/13 08:37:08:653',1,50,50,1,?,?,?
35,'2022/12/13 08:37:08:688',1,528.741516,468.577118,1,?,?,?
36,'2022/12/13 08:37:08:721',1,532.156982,465.543304,1,?,?,?
37,'2022/12/13 08:37:08:754',1,536.534241,463.214111,1,?,?,?
38,'2022/12/13 08:37:08:786',1,540.342407,461.281342,1,?,?,?
39,'2022/12/13 08:37:08:819',1,539.553711,459.727631,1,?,?,?
40,'2022/12/13 08:37:08:850',1,50,50,1,?,?,?
41,'2022/12/13 08:37:08:882',1,542.727539,456.399323,1,?,?,?
42,'2022/12/13 08:37:08:914',1,547.322266,455.081604,1,?,?,?
43,'2022/12/13 08:37:08:945',1,547.366577,452.516296,1,?,?,?
44,'2022/12/13 08:37:08:977',1,547.733643,450.283508,1,?,?,?
45,'2022/12/13 08:37:09:007',1,550.991089,448.45343,1,?,?,?
46,'2022/12/13 08:37:09:039',1,50,50,1,?,?,?
47,'2022/12/13 08:37:09:071',1,50,50,1,?,?,?
48,'2022/12/13 08:37:09:103',1,557.619324,441.27298,1,?,?,?
49,'2022/12/13 08:37:09:136',1,50,50,1,?,?,?
50,'2022/12/13 08:37:09:168',1,564.415039,438.657898,1,?,?,?
51,'2022/12/13 08:37:09:200',1,566.275818,436.72818,1,?,?,?
52,'2022/12/13 08:37:09:235',1,570.901184,434.245422,1,?,?,?
53,'2022/12/13 08:37:09:267',1,575.411194,431.800018,1,?,?,?
54,'2022/12/13 08:37:09:299',1,579.657898,429.259918,1,?,?,?
55,'2022/12/13 08:37:09:331',1,583.65802,427.824738,1,?,?,?
56,'2022/12/13 08:37:09:363',1,586.822937,426.08194,1,?,?,?
57,'2022/12/13 08:37:09:396',1,589.847229,423.877563,1,?,?,?
58,'2022/12/13 08:37:09:429',1,592.69458,419.664307,1,?,?,?
59,'2022/12/13 08:37:09:462',1,597.354736,414.860321,1,?,?,?
60,'2022/12/13 08:37:09:495',1,602.233887,411.419434,1,?,?,?
61,'2022/12/13 08:37:09:527',1,606.24707,407.520813,1,?,?,?
62,'2022/12/13 08:37:09:560',1,607.681946,402.725647,1,?,?,?
63,'2022/12/13 08:37:09:592',1,608.841125,398.095306,1,?,?,?
64,'2022/12/13 08:37:09:625',1,613.233948,392.896484,1,?,?,?
65,'2022/12/13 08:37:09:657',1,616.653076,386.655029,1,?,?,?
66,'2022/12/13 08:37:09:689',1,621.961426,382.291779,1,?,?,?
67,'2022/12/13 08:37:09:721',1,627.375061,379.987213,1,?,?,?
68,'2022/12/13 08:37:09:753',1,630.845886,376.062683,1,?,?,?
69,'2022/12/13 08:37:09:786',1,633.914368,372.763336,1,?,?,?
70,'2022/12/13 08:37:09:817',1,639.39563,369.986145,1,?,?,?
71,'2022/12/13 08:37:09:850',1,648.765869,367.590942,1,?,?,?
72,'2022/12/13 08:37:09:881',1,652.529236,364.151031,1,?,?,?
73,'2022/12/13 08:37:09:913',1,654.593201,361.602539,1,?,?,?
74,'2022/12/13 08:37:09:944',1,50,50,1,?,?,?
75,'2022/12/13 08:37:09:975',1,660.336426,356.769348,1,?,?,?
76,'2022/12/13 08:37:10:009',1,664.653931,353.879059,1,?,?,?
77,'2022/12/13 08:37:10:040',1,50,50,1,?,?,?
78,'2022/12/13 08:37:10:073',1,667.586914,350.864105,1,?,?,?
79,'2022/12/13 08:37:10:105',1,50,50,1,?,?,?
80,'2022/12/13 08:37:10:137',1,671.524292,344.97464,1,?,?,?
81,'2022/12/13 08:37:10:170',1,50,50,1,?,?,?
82,'2022/12/13 08:37:10:202',1,672.546997,338.829742,1,?,?,?
83,'2022/12/13 08:37:10:234',1,674.745483,335.535583,1,?,?,?
84,'2022/12/13 08:37:10:266',1,677.920532,330.267273,1,?,?,?
85,'2022/12/13 08:37:10:299',1,681.748047,322.962799,1,?,?,?
86,'2022/12/13 08:37:10:330',1,684.664307,316.907684,1,?,?,?
87,'2022/12/13 08:37:10:362',1,687.662292,312.381378,1,?,?,?
88,'2022/12/13 08:37:10:394',1,690.596863,307.336487,1,?,?,?
89,'2022/12/13 08:37:10:427',1,693.726257,301.023163,1,?,?,?
90,'2022/12/13 08:37:10:458',1,698.45929,294.05069,1,?,?,?
91,'2022/12/13 08:37:10:491',1,701.857849,287.540741,1,?,?,?
92,'2022/12/13 08:37:10:522',1,704.194702,284.705658,1,?,?,?
93,'2022/12/13 08:37:10:554',1,707.090637,280.277222,1,?,?,?
94,'2022/12/13 08:37:10:586',1,709.234741,275.607849,1,?,?,?
95,'2022/12/13 08:37:10:618',1,710.601685,272.890808,1,?,?,?
