@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute realinputs-1 numeric
@attribute realinputs-2 numeric
@attribute realinputs-3 numeric
@attribute realinputs-4 numeric
@attribute realinputs-5 numeric
@attribute realinputs-6 numeric
@attribute realinputs-7 numeric
@attribute realinputs-8 numeric
@attribute realinputs-9 numeric
@attribute hori_android1 numeric
@attribute verti_android1 numeric
@attribute roll_android1 {0,1,2,3}
@attribute hori_ios1 numeric
@attribute verti_ios1 numeric
@attribute roll_ios1 {0,1,2,3}
@attribute hori_ios2 numeric
@attribute verti_ios2 numeric
@attribute roll_ios2 {0,1,2,3}

@data
1,'2022/11/28 09:44:02:624',1,333.984985,7.761229,-0.341337,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
2,'2022/11/28 09:44:02:640',1,333.966614,7.796222,-0.335594,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
3,'2022/11/28 09:44:02:657',1,333.957489,7.835659,-0.330855,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
4,'2022/11/28 09:44:02:676',1,333.957489,7.835659,-0.330855,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
5,'2022/11/28 09:44:02:690',1,333.959167,7.884686,-0.322521,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
6,'2022/11/28 09:44:02:708',1,333.96051,7.923907,-0.315853,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
7,'2022/11/28 09:44:02:724',1,333.967621,7.966691,-0.310172,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
8,'2022/11/28 09:44:02:740',1,333.973328,8.000918,-0.305626,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
9,'2022/11/28 09:44:02:758',1,333.980621,8.031693,-0.306094,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
10,'2022/11/28 09:44:02:774',1,333.98642,8.060064,-0.31126,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
11,'2022/11/28 09:44:08:578',2,285.409363,-2.436164,-3.057945,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
12,'2022/11/28 09:44:08:595',2,285.466888,-2.434741,-3.04664,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
13,'2022/11/28 09:44:08:612',2,285.466888,-2.434741,-3.04664,0,0,0,0,0,0,?,?,?,?,?,?,?,?,?
