@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute inputs-7 numeric
@attribute outputs-1 {0,1,2,3,4,5,6}

@data
33,'2022/11/07 16:44:37:086',3,0,0,0,0,0,0,0,?
34,'2022/11/07 16:44:37:136',3,0,0,0,0,0,0,0,?
35,'2022/11/07 16:44:37:183',3,0,0,0,0,0,0,0,?
36,'2022/11/07 16:44:37:229',3,0,0,0,0,0,0,0,?
37,'2022/11/07 16:44:37:277',3,0,0,0,0,0,0,0,?
38,'2022/11/07 16:44:37:323',3,0,0,0,0,0,0,0,?
39,'2022/11/07 16:44:37:371',3,0,0,0,0,0,0,0,?
40,'2022/11/07 16:44:37:417',3,0,0,0,0,0,0,0,?
41,'2022/11/07 16:44:37:465',3,0,0,0,0,0,0,0,?
42,'2022/11/07 16:44:37:512',3,0,0,0,0,0,0,0,?
43,'2022/11/07 16:44:37:558',3,0,0,0,0,0,0,0,?
44,'2022/11/07 16:44:37:605',3,0,0,0,0,0,0,0,?
45,'2022/11/07 16:44:37:650',3,0,0,0,0,0,0,0,?
46,'2022/11/07 16:44:37:697',3,0,0,0,0,0,0,0,?
47,'2022/11/07 16:44:37:744',3,0,0,0,0,0,0,0,?
48,'2022/11/07 16:44:37:789',3,0,0,0,0,0,0,0,?
49,'2022/11/07 16:44:37:836',3,0,0,0,0,0,0,0,?
50,'2022/11/07 16:44:37:883',3,0,0,0,0,0,0,0,?
51,'2022/11/07 16:44:37:929',3,0,0,0,0,0,0,0,?
52,'2022/11/07 16:44:37:976',3,0,0,0,0,0,0,0,?
53,'2022/11/07 16:44:38:022',3,0,0,0,0,0,0,0,?
54,'2022/11/07 16:44:38:069',3,0,0,0,0,0,0,0,?
55,'2022/11/07 16:44:38:116',3,0,0,0,0,0,0,0,?
56,'2022/11/07 16:44:38:163',3,0,0,0,0,0,0,0,?
57,'2022/11/07 16:44:38:211',3,0,0,0,0,0,0,0,?
58,'2022/11/07 16:44:38:257',3,0,0,0,0,0,0,0,?
59,'2022/11/07 16:44:38:304',3,0,0,0,0,0,0,0,?
60,'2022/11/07 16:44:38:349',3,0,0,0,0,0,0,0,?
61,'2022/11/07 16:44:38:395',3,0,0,0,0,0,0,0,?
62,'2022/11/07 16:44:38:444',3,0,0,0,0,0,0,0,?
63,'2022/11/07 16:44:38:489',3,0,0,0,0,0,0,0,?
64,'2022/11/07 16:44:38:536',3,0,0,0,0,0,0,0,?
65,'2022/11/07 16:44:38:582',3,0,0,0,0,0,0,0,?
66,'2022/11/07 16:44:38:628',3,0,0,0,0,0,0,0,?
67,'2022/11/07 16:44:38:675',3,0,0,0,0,0,0,0,?
68,'2022/11/07 16:44:38:720',3,0,0,0,0,0,0,0,?
69,'2022/11/07 16:44:38:768',3,0,0,0,0,0,0,0,?
70,'2022/11/07 16:44:38:815',3,0,0,0,0,0,0,0,?
71,'2022/11/07 16:44:38:861',3,0,0,0,0,0,0,0,?
72,'2022/11/07 16:44:38:908',3,0,0,0,0,0,0,0,?
73,'2022/11/07 16:44:38:954',3,0,0,0,0,0,0,0,?
74,'2022/11/07 16:44:39:001',3,0,0,0,0,0,0,0,?
75,'2022/11/07 16:44:39:048',3,0,0,0,0,0,0,0,?
76,'2022/11/07 16:44:39:095',3,0,0,0,0,0,0,0,?
77,'2022/11/07 16:44:39:142',3,0,0,0,0,0,0,0,?
78,'2022/11/07 16:44:39:191',3,0,0,0,0,0,0,0,?
79,'2022/11/07 16:44:39:232',3,0,0,0,0,0,0,0,?
80,'2022/11/07 16:44:39:275',3,0,0,0,0,0,0,0,?
81,'2022/11/07 16:44:39:322',3,0,0,0,0,0,0,0,?
82,'2022/11/07 16:44:39:370',3,0,0,0,0,0,0,0,?
83,'2022/11/07 16:44:39:417',3,0,0,0,0,0,0,0,?
84,'2022/11/07 16:44:39:463',3,0,0,0,0,0,0,0,?
85,'2022/11/07 16:44:39:510',3,0,0,0,0,0,0,0,?
86,'2022/11/07 16:44:39:556',3,0,0,0,0,0,0,0,?
87,'2022/11/07 16:44:39:603',3,0,0,0,0,0,0,0,?
88,'2022/11/07 16:44:39:649',3,0,0,0,0,0,0,0,?
89,'2022/11/07 16:44:39:696',3,0,0,0,0,0,0,0,?
90,'2022/11/07 16:44:39:745',3,0,0,0,0,0,0,0,?
91,'2022/11/07 16:44:39:791',3,0,0,0,0,0,0,0,?
92,'2022/11/07 16:44:39:838',3,0,0,0,0,0,0,0,?
93,'2022/11/07 16:44:39:885',3,0,0,0,0,0,0,0,?
94,'2022/11/07 16:44:39:932',3,0,0,0,0,0,0,0,?
95,'2022/11/07 16:44:39:977',3,0,0,0,0,0,0,0,?
96,'2022/11/07 16:44:40:025',3,0,0,0,0,0,0,0,?
97,'2022/11/07 16:44:40:071',3,0,0,0,0,0,0,0,?
98,'2022/11/07 16:44:40:117',3,0,0,0,0,0,0,0,?
99,'2022/11/07 16:44:40:164',3,0,0,0,0,0,0,0,?
100,'2022/11/07 16:44:40:213',3,0,0,0,0,0,0,0,?
101,'2022/11/07 16:44:40:262',3,0,0,0,0,0,0,0,?
102,'2022/11/07 16:44:40:309',3,0,0,0,0,0,0,0,?
103,'2022/11/07 16:44:40:354',3,0,0,0,0,0,0,0,?
104,'2022/11/07 16:44:40:401',3,0,0,0,0,0,0,0,?
105,'2022/11/07 16:44:40:447',3,0,0,0,0,0,0,0,?
106,'2022/11/07 16:44:40:493',3,0,0,0,0,0,0,0,?
107,'2022/11/07 16:44:40:542',3,0,0,0,0,0,0,0,?
108,'2022/11/07 16:44:40:588',3,0,0,0,0,0,0,0,?
109,'2022/11/07 16:44:40:635',3,0,0,0,0,0,0,0,?
110,'2022/11/07 16:44:40:682',3,0,0,0,0,0,0,0,?
111,'2022/11/07 16:44:40:729',3,0,0,0,0,0,0,0,?
112,'2022/11/07 16:44:40:776',3,0,0,0,0,0,0,0,?
