@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute inputs-2 numeric
@attribute inputs-3 numeric
@attribute inputs-4 numeric
@attribute inputs-5 numeric
@attribute inputs-6 numeric
@attribute outputs-1 numeric
@attribute outputs-2 {0,1,2}

@data
1,'2022/11/20 22:45:10:024',1,0.498498,0.275563,0.206104,1.186067,-1.033666,-3.004034,?,?
2,'2022/11/20 22:45:10:055',1,0.31421,0.418956,0.212358,1.000962,-1.172462,-2.878895,?,?
3,'2022/11/20 22:45:10:089',1,0.019252,0.364122,0.124354,0.775801,-1.183173,-2.835927,?,?
4,'2022/11/20 22:45:10:123',1,-0.366124,0.224424,-0.20006,0.598161,-1.166862,-2.811303,?,?
5,'2022/11/20 22:45:10:156',1,-0.493501,-0.025184,-0.247697,0.476981,-1.19489,-2.762136,?,?
6,'2022/11/20 22:45:10:189',1,-0.3197,-0.009689,-0.105708,0.430167,-1.26764,-2.702743,?,?
7,'2022/11/20 22:45:10:223',1,-0.192108,-0.063486,-0.023367,0.399047,-1.314473,-2.666225,?,?
8,'2022/11/20 22:45:10:256',1,-0.32954,-0.092133,-0.11626,0.368203,-1.329031,-2.642159,?,?
9,'2022/11/20 22:45:10:289',1,-0.157084,-0.037529,-0.035035,0.356983,-1.330796,-2.620869,?,?
10,'2022/11/20 22:45:10:322',1,-0.067495,-0.016168,-0.00242,0.351385,-1.328533,-2.603586,?,?
11,'2022/11/20 22:45:10:356',1,0.073028,0.027217,0.022976,0.345561,-1.323233,-2.580113,?,?
12,'2022/11/20 22:45:10:389',1,0.085393,0.028414,0.010741,0.336195,-1.324318,-2.559678,?,?
13,'2022/11/20 22:45:10:422',1,0.094093,0.042158,-0.024547,0.327169,-1.330158,-2.536541,?,?
14,'2022/11/20 22:45:10:456',1,-0.020913,-0.013448,-0.015599,0.31541,-1.337861,-2.510247,?,?
15,'2022/11/20 22:45:10:489',1,-0.063085,-0.036224,0.014451,0.308634,-1.344229,-2.482106,?,?
16,'2022/11/20 22:45:10:523',1,-0.144842,-0.020029,0.032345,0.311187,-1.339897,-2.468287,?,?
17,'2022/11/20 22:45:10:556',1,0.000451,-0.026411,0.010312,0.320124,-1.343073,-2.456558,?,?
18,'2022/11/20 22:45:10:589',1,-0.033655,-0.012372,0.005375,0.332755,-1.347654,-2.444649,?,?
19,'2022/11/20 22:45:10:623',1,-0.388977,-0.108285,-0.063051,0.36047,-1.335896,-2.437672,?,?
